augmentation,snr_db,seed,lr,batch_size,dropout,best_valid_acc,best_valid_macro_f1,test_acc,test_macro_f1,test_weighted_f1
no_aug,,0,0.0003,64,0.1,0.9616285881663738,0.9432457503010894,0.9678077203204661,0.9534993441338897,0.9676282001512564
no_aug,,1,0.0003,64,0.1,0.9620679554774458,0.9435095845148599,0.9695557174071376,0.9562016110089465,0.969413280730525
no_aug,,2,0.0003,64,0.1,0.9614821323960164,0.9434101507256897,0.9695557174071376,0.9566154295385263,0.969473773603493
snr_20,20.0,0,0.0003,64,0.1,0.9474223784417106,0.9202103336729289,0.9500364166059724,0.9251437182351543,0.949447995393023
snr_20,20.0,1,0.0003,64,0.1,0.9472759226713533,0.9213086661416637,0.9450837581937364,0.9165952097294965,0.9444030996479695
snr_20,20.0,2,0.0003,64,0.1,0.950937316930287,0.9265223730658673,0.945957756737072,0.920647559778244,0.9452556360799723
