lr,seed,batch_size,dropout,best_valid_acc,best_valid_macro_f1,test_acc,test_macro_f1,test_weighted_f1
0.01,0,64,0.1,0.6181898066783831,0.06367092044528917,0.6217042971595047,0.06389412856672355,0.4766790515183268
0.01,1,64,0.1,0.6181898066783831,0.06367092044528917,0.6217042971595047,0.06389412856672355,0.4766790515183268
0.01,2,64,0.1,0.6181898066783831,0.06367092044528917,0.6217042971595047,0.06389412856672355,0.4766790515183268
0.001,0,64,0.1,0.6965436438195665,0.4065110975309431,0.6917698470502549,0.39299831818870956,0.6271455336107119
0.001,1,64,0.1,0.6181898066783831,0.09138389488443051,0.6217042971595047,0.06389412856672355,0.4766790515183268
0.001,2,64,0.1,0.942589338019918,0.9114375988212537,0.945957756737072,0.9171892805916658,0.9454091444239802
0.0003,0,64,0.1,0.9616285881663738,0.9432457503010894,0.9678077203204661,0.9534993441338897,0.9676282001512564
0.0003,1,64,0.1,0.9620679554774458,0.9435095845148599,0.9695557174071376,0.9562016110089465,0.969413280730525
0.0003,2,64,0.1,0.9614821323960164,0.9434101507256897,0.9695557174071376,0.9566154295385263,0.969473773603493
5e-05,0,64,0.1,0.9537199765670767,0.9334090669351774,0.9561544064093227,0.9253697885390991,0.9561136137918692
5e-05,1,64,0.1,0.9521089630931459,0.9297439775992739,0.9558630735615441,0.9334937500194879,0.9557799716200374
5e-05,2,64,0.1,0.9573813708260105,0.9358199797387657,0.9586307356154407,0.9363529164483864,0.9585353034911163
