augmentation,snr_db,seed,lr,batch_size,dropout,best_valid_acc,best_valid_macro_f1,test_acc,test_macro_f1,test_weighted_f1
snr_10,10,0,0.0003,64,0.1,0.9204745166959578,0.878250108380552,0.9142024763292061,0.8672847398004658,0.9117964290107701
snr_10,10,1,0.0003,64,0.1,0.9220855301698887,0.8807475916224909,0.9160961398397669,0.8699269173797174,0.9141912400561919
snr_10,10,2,0.0003,64,0.1,0.929261862917399,0.8933109067993348,0.918572469045885,0.8781021243324719,0.9168897424640929
snr_5,5,0,0.0003,64,0.1,0.9065612185120093,0.8421342920254483,0.8970138383102695,0.8344040708655575,0.8934943835204429
snr_5,5,1,0.0003,64,0.1,0.9131517281780902,0.8595819806183989,0.9098324836125273,0.8522560667393729,0.9081206977360793
snr_5,5,2,0.0003,64,0.1,0.9102226127709432,0.8621851341810666,0.9040058266569556,0.8488338892578166,0.9016833912395769
